zipcode,total_rat_sightings,mature_rat_sightings,closed_rat_sightings,median_resolution_days,average_resolution_days,avg_p90_resolution_days,resolved_within_30_days,not_resolved_within_30_days,avg_percent_unresolved_within_30_days,represented_inspections,inspected_restaurants,inspections_with_04k,percent_inspections_with_04k,complaint_percentile,inspection_evidence_percentile,potential_underreporting_score,interpretation
11223,150.0,144.0,138.0,0.0,4.79,10.107222222222225,132.0,12.0,8.344999999999999,269.0,167.0,7.0,2.6,53.9,48.3,-5.6,Datasets broadly similar
11224,96.0,93.0,87.0,0.0,3.11,7.9252631578947375,87.0,6.0,5.075263157894739,117.0,77.0,3.0,2.56,37.6,47.8,10.2,Datasets broadly similar
11225,509.0,496.0,486.0,1.15,4.42,10.874,476.0,20.0,4.029499999999999,251.0,143.0,10.0,3.98,93.8,69.1,-24.7,Datasets broadly similar
11226,760.0,720.0,704.0,0.54,4.38,13.086499999999996,684.0,36.0,5.896500000000003,422.0,210.0,17.0,4.03,99.4,70.2,-29.2,Datasets broadly similar
11228,101.0,96.0,88.0,0.0,4.66,11.774210526315793,86.0,10.0,8.747368421052641,103.0,58.0,6.0,5.83,39.9,84.8,44.9,High potential under-reporting signal
11229,146.0,138.0,136.0,2.88,8.33,22.259,127.0,11.0,6.750500000000002,239.0,133.0,10.0,4.18,53.4,71.3,17.9,Datasets broadly similar
11230,429.0,403.0,390.0,0.56,6.44,18.915,366.0,37.0,9.099500000000006,188.0,109.0,6.0,3.19,89.9,57.3,-32.6,Datasets broadly similar
11231,252.0,245.0,249.0,0.0,3.07,5.9025,244.0,1.0,0.625,230.0,151.0,10.0,4.35,75.3,72.5,-2.8,Datasets broadly similar
11232,154.0,135.0,146.0,0.56,6.81,9.638,126.0,9.0,4.977000000000004,179.0,122.0,5.0,2.79,55.6,51.1,-4.5,Datasets broadly similar
11233,728.0,667.0,696.0,1.04,5.65,10.5965,631.0,36.0,3.6025000000000063,173.0,86.0,12.0,6.94,98.9,93.8,-5.1,Datasets broadly similar
11234,171.0,162.0,160.0,0.0,2.92,6.078,158.0,4.0,2.6069999999999993,247.0,150.0,5.0,2.02,60.7,33.1,-27.6,Datasets broadly similar
11235,254.0,243.0,222.0,0.0,4.99,18.382,216.0,27.0,11.190500000000014,290.0,161.0,9.0,3.1,75.8,55.6,-20.2,Datasets broadly similar
11236,102.0,95.0,96.0,0.0,4.06,12.068947368421057,90.0,5.0,5.78947368421052,181.0,106.0,6.0,3.31,41.0,61.2,20.2,Moderate potential under-reporting signal
11237,305.0,295.0,298.0,0.6,3.53,8.994,288.0,7.0,2.5520000000000067,411.0,257.0,25.0,6.08,81.5,88.8,7.3,Datasets broadly similar
11238,679.0,645.0,637.0,1.0,7.66,19.8385,575.0,70.0,9.611500000000007,384.0,232.0,13.0,3.39,97.2,62.4,-34.8,Datasets broadly similar
11239,24.0,22.0,22.0,3.38,4.6,4.876666666666668,21.0,1.0,2.0833333333333144,33.0,21.0,0.0,0.0,14.0,0.0,-14.0,Datasets broadly similar
11241,,,,,,,,,,2.0,1.0,0.0,0.0,,,Insufficient data,
11249,130.0,125.0,127.0,0.04,4.66,14.212105263157891,121.0,4.0,5.3215789473684225,272.0,192.0,13.0,4.78,48.3,75.8,27.5,Moderate potential under-reporting signal
11354,83.0,77.0,75.0,0.0,3.36,6.101052631578948,74.0,3.0,4.3857894736841985,956.0,476.0,38.0,3.97,35.4,68.5,33.1,Moderate potential under-reporting signal
11355,66.0,61.0,58.0,0.0,2.14,5.764666666666667,57.0,4.0,11.666875000000005,415.0,189.0,21.0,5.06,29.8,78.1,48.3,High potential under-reporting signal
11356,23.0,21.0,21.0,0.0,8.46,9.857272727272727,17.0,4.0,15.151818181818172,101.0,58.0,0.0,0.0,13.5,0.0,-13.5,Datasets broadly similar
11357,61.0,58.0,52.0,0.0,5.64,9.565882352941175,50.0,8.0,12.254705882352937,99.0,63.0,1.0,1.01,27.5,18.5,-9.0,Datasets broadly similar
11358,91.0,88.0,85.0,0.0,15.48,23.817500000000003,73.0,15.0,9.75,251.0,151.0,7.0,2.79,36.0,51.1,15.1,Datasets broadly similar
11360,16.0,16.0,13.0,0.0,8.45,4.7090000000000005,10.0,6.0,22.727272727272734,51.0,25.0,0.0,0.0,9.6,0.0,-9.6,Datasets broadly similar
